City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Wajima,JP,2020-08-27 02:51:29,37.4,136.9,87.8,62,1,3.36
190,Ayagoz,KZ,2020-08-27 02:41:07,47.97,80.44,65.14,33,100,4.81
191,Asosa,ET,2020-08-27 02:51:29,10.07,34.53,59.79,97,100,3.09
192,Coyoles,MX,2020-08-27 02:51:29,19.48,-96.69,82.4,83,20,2.33
193,Carutapera,BR,2020-08-27 02:43:01,-1.2,-46.02,75.96,89,14,4.7
194,Gedo,ET,2020-08-27 02:49:31,9.02,37.45,49.15,100,78,0.81
195,Egvekinot,RU,2020-08-27 02:43:49,66.32,-179.17,49.3,71,90,4.94
196,Nevel,RU,2020-08-27 02:51:30,56.02,29.93,54.84,92,100,5.5
197,Hami,CN,2020-08-27 02:42:49,42.8,93.45,75.65,19,1,4.0
198,Roebourne,AU,2020-08-27 02:49:02,-20.78,117.13,92.66,17,0,11.68
199,Cacaotepec,MX,2020-08-27 02:51:30,17.13,-96.8,65.26,85,100,1.86
200,Calarasi,MD,2020-08-27 02:51:30,47.25,28.31,62.6,72,6,1.12
201,Raudeberg,NO,2020-08-27 02:43:03,61.99,5.14,53.01,80,16,11.99
202,Luganville,VU,2020-08-27 02:43:48,-15.53,167.17,78.67,84,49,13.49
203,Tursunzoda,TJ,2020-08-27 02:42:56,38.51,68.23,64.4,88,20,2.24
204,Isangel,VU,2020-08-27 02:42:42,-19.55,169.27,73.92,74,81,17.29
205,Kidal,ML,2020-08-27 02:43:40,18.44,1.41,88.83,43,10,9.24
206,Maningrida,AU,2020-08-27 02:49:40,-12.07,134.27,89.73,26,0,12.91
207,Thaton,MM,2020-08-27 02:51:30,16.92,97.37,81.95,80,87,5.06
208,Meulaboh,ID,2020-08-27 02:42:56,4.14,96.13,84.74,67,49,2.82
209,Mahebourg,MU,2020-08-27 02:42:43,-20.41,57.7,66.2,93,75,9.17
210,Havoysund,NO,2020-08-27 02:43:42,71.0,24.66,42.8,75,40,17.22
211,Zaraysk,RU,2020-08-27 02:50:13,54.77,38.88,50.0,89,30,2.33
212,Kununurra,AU,2020-08-27 02:45:50,-15.77,128.73,91.4,11,0,14.99
213,Kaputa,ZM,2020-08-27 02:51:30,-8.47,29.66,71.56,56,60,2.21
214,Souillac,MU,2020-08-27 02:43:36,-20.52,57.52,66.2,93,75,9.17
215,Dongkan,CN,2020-08-27 02:51:30,34.0,119.83,73.54,93,100,3.94
216,Aksarka,RU,2020-08-27 02:42:57,66.56,67.8,56.77,84,2,5.01
217,Beidao,CN,2020-08-27 02:42:43,34.57,105.89,80.82,56,10,4.92
218,Odienne,CI,2020-08-27 02:49:42,9.51,-7.57,69.13,96,17,3.04
219,Hualmay,PE,2020-08-27 02:42:55,-11.1,-77.61,61.72,85,70,11.03
220,Robore,BO,2020-08-27 02:51:30,-18.33,-59.75,79.57,37,0,4.76
221,Trofors,NO,2020-08-27 02:51:30,65.53,13.41,46.4,93,70,3.36
222,Oskemen,KZ,2020-08-27 02:51:31,49.96,82.61,53.6,87,90,1.1
223,Nome,US,2020-08-27 02:43:50,64.5,-165.41,59.0,72,75,9.17
224,Gangarampur,IN,2020-08-27 02:51:31,25.4,88.52,86.59,68,14,13.91
225,Shimoda,JP,2020-08-27 02:42:41,34.67,138.95,84.2,83,40,8.05
226,Nanortalik,GL,2020-08-27 02:42:40,60.14,-45.24,44.94,81,78,3.31
227,Sterling,US,2020-08-27 02:43:47,39.01,-77.43,77.0,73,1,9.17
228,Zhangye,CN,2020-08-27 02:45:55,38.93,100.45,69.98,23,18,9.28
229,Karratha,AU,2020-08-27 02:43:04,-20.74,116.85,93.52,16,0,12.41
230,Navlya,RU,2020-08-27 02:51:31,52.83,34.5,51.8,93,46,2.24
231,Faanui,PF,2020-08-27 02:42:44,-16.48,-151.75,78.17,75,41,10.29
232,Ostrovnoy,RU,2020-08-27 02:42:49,68.05,39.51,52.43,93,99,5.12
233,Havre-Saint-Pierre,CA,2020-08-27 02:43:39,50.23,-63.6,46.4,87,90,12.75
234,Fortuna,US,2020-08-27 02:42:48,40.6,-124.16,57.99,93,90,6.93
235,Inhambane,MZ,2020-08-27 02:42:45,-23.86,35.38,69.71,79,99,9.01
236,Salalah,OM,2020-08-27 02:42:40,17.02,54.09,75.2,100,90,2.24
237,Auki,SB,2020-08-27 02:44:54,-8.77,160.7,85.42,69,79,4.16
238,Iralaya,HN,2020-08-27 02:51:31,15.0,-83.23,79.0,83,96,9.82
239,Mafinga,TZ,2020-08-27 02:48:57,-7.25,35.07,61.65,78,0,3.76
240,Bangassou,CF,2020-08-27 02:47:15,4.74,22.82,65.01,96,56,1.86
241,Tenenkou,ML,2020-08-27 02:51:31,14.46,-4.92,79.74,74,80,7.96
242,Mata,PT,2020-08-27 02:51:31,40.68,-7.46,64.99,95,0,1.01
243,Islaz,RO,2020-08-27 02:51:31,43.73,24.75,60.8,87,5,4.7
244,Mitchell,US,2020-08-27 02:47:54,43.71,-98.03,78.8,65,1,5.82
245,Hofn,IS,2020-08-27 02:42:49,64.25,-15.21,49.5,87,0,5.86
246,Turkistan,KZ,2020-08-27 02:51:31,43.0,68.0,69.06,62,0,12.55
247,Tumba,SE,2020-08-27 02:51:32,59.2,17.83,51.01,87,0,4.7
248,Tibati,CM,2020-08-27 02:51:32,6.47,12.63,66.36,96,97,1.48
249,Zamosc,PL,2020-08-27 02:51:32,50.72,23.25,60.8,93,96,13.87
250,Judenburg,AT,2020-08-27 02:51:32,47.17,14.67,62.01,93,100,2.24
